"","year_month","member_casual","number_of_rides","average_duration","max_duration"
"1","2019/04","casual",47744,50.9424524547587,79293.9666666667
"2","2019/05","casual",81624,51.2383620830475,75320.4333333333
"3","2019/06","casual",130218,45.9200398562411,39146.05
"4","2019/07","casual",175632,59.7838249863351,132324.133333333
"5","2019/08","casual",186889,67.0075223795943,127791.166666667
"6","2019/09","casual",129173,51.6667030519794,76055.3666666667
"7","2019/10","casual",71035,58.9921503484198,143038.366666667
"8","2019/11","casual",18723,67.0327636240631,55121.4166666667
"9","2019/12","casual",16430,63.3326567255021,54114.0333333333
"10","2020/01","casual",7785,161.649486191394,156450.4
"11","2020/02","casual",12314,133.286076823128,143936.75
"12","2020/03","casual",24615,70.8370505789153,57250.1666666667
"13","2019/04","member",217566,13.5127921335748,73993.15
"14","2019/05","member",285834,13.8498970847881,41323.6666666667
"15","2019/06","member",345177,14.5474413127178,33387.0666666667
"16","2019/07","member",381683,16.4333330276696,150943.9
"17","2019/08","member",403295,16.1855404852527,93812.9833333333
"18","2019/09","member",364046,14.1306485993528,73282.8666666667
"19","2019/10","member",300751,13.030887511596,86100.3666666667
"20","2019/11","member",158440,12.4320709206429,27248.8333333333
"21","2019/12","member",138662,11.4151639718644,8582.61666666667
"22","2020/01","member",136099,11.1490375878343,10424.2
"23","2020/02","member",126714,12.8066193685518,79217.5166666667
"24","2020/03","member",115593,14.3344059184668,93793.5166666667
